Day,Number of Bicycle Hires,Month,Number of Bicycle Hires,Year,Number of Bicycle Hires,Month,Average Hire Time (mins)
20/07/2012,31187,,,,,,
21/07/2012,34776,,,,,,
22/07/2012,38620,,,,,,
23/07/2012,42309,,,,,,
24/07/2012,45748,,,,,,
25/07/2012,45024,,,,,,
26/07/2012,46891,,,,,,
27/07/2012,42815,,,,,,
28/07/2012,44617,,,,,,
29/07/2012,26352,,,,,,
30/07/2012,41891,,,,,,
31/07/2012,35805,,,,,,
01/08/2012,41603,,,,,,
02/08/2012,43183,,,,,,
03/08/2012,43045,,,,,,
04/08/2012,39082,,,,,,
05/08/2012,30150,,,,,,
06/08/2012,37198,,,,,,
07/08/2012,38134,,,,,,
08/08/2012,42263,,,,,,
09/08/2012,46050,,,,,,
10/08/2012,47102,,,,,,
11/08/2012,44111,,,,,,
12/08/2012,41734,,,,,,
13/08/2012,36101,,,,,,
14/08/2012,41532,,,,,,
15/08/2012,36557,,,,,,
16/08/2012,38181,,,,,,
17/08/2012,40821,,,,,,
18/08/2012,40577,,,,,,
19/08/2012,35370,,,,,,
20/08/2012,37997,,,,,,
21/08/2012,39185,,,,,,
22/08/2012,39962,,,,,,
23/08/2012,36578,,,,,,
24/08/2012,33329,,,,,,
25/08/2012,17802,,,,,,
26/08/2012,31939,,,,,,
27/08/2012,27522,,,,,,
28/08/2012,37362,,,,,,
29/08/2012,30916,,,,,,
30/08/2012,30379,,,,,,
31/08/2012,37406,,,,,,
01/09/2012,33123,,,,,,
02/09/2012,27997,,,,,,
03/09/2012,39941,,,,,,
04/09/2012,40298,,,,,,
05/09/2012,40606,,,,,,
06/09/2012,39864,,,,,,
07/09/2012,41414,,,,,,
08/09/2012,40978,,,,,,
09/09/2012,39006,,,,,,
10/09/2012,35489,,,,,,
11/09/2012,37276,,,,,,
12/09/2012,35654,,,,,,
13/09/2012,37938,,,,,,
14/09/2012,36653,,,,,,
15/09/2012,36493,,,,,,
16/09/2012,29785,,,,,,
17/09/2012,35954,,,,,,
18/09/2012,37026,,,,,,
19/09/2012,36136,,,,,,
20/09/2012,35929,,,,,,
21/09/2012,32347,,,,,,
22/09/2012,33867,,,,,,
23/09/2012,8452,,,,,,
24/09/2012,21229,,,,,,
25/09/2012,33706,,,,,,
26/09/2012,27202,,,,,,
27/09/2012,32416,,,,,,
28/09/2012,31880,,,,,,
29/09/2012,31223,,,,,,
30/09/2012,25263,,,,,,
01/10/2012,23627,,,,,,
02/10/2012,30107,,,,,,
03/10/2012,32695,,,,,,
